CustomerKey,age_cleaned,age_bin,job,marital,education,edu_group,income_group,default,housing,loan,financial_status
1,56,50-59,housemaid,married,basic.4y,Elementary,No Income,no,no,no,No Obligations
2,57,50-59,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
3,37,30-39,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
4,40,30-39,admin.,married,basic.6y,Elementary,Medium Income,no,no,no,No Obligations
5,56,50-59,services,married,high.school,Secondary,Low Income,no,no,yes,Has Obligations
6,45,40-49,services,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
7,59,50-59,admin.,married,professional.course,Secondary,Medium Income,no,no,no,No Obligations
8,41,40-49,blue-collar,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
9,24,20-29,technician,single,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
10,25,20-29,services,single,high.school,Secondary,Low Income,no,yes,no,Has Obligations
11,29,20-29,blue-collar,single,high.school,Secondary,Low Income,no,no,yes,Has Obligations
12,57,50-59,housemaid,divorced,basic.4y,Elementary,No Income,no,yes,no,Has Obligations
13,35,30-39,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
14,54,50-59,retired,married,basic.9y,Elementary,Medium Income,no,yes,yes,Has Obligations
15,46,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,yes,Has Obligations
16,50,40-49,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,yes,Has Obligations
17,39,30-39,management,single,basic.9y,Elementary,High Income,no,no,no,No Obligations
18,30,20-29,unemployed,married,high.school,Secondary,No Income,no,no,no,No Obligations
19,55,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
20,55,50-59,retired,single,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
21,41,40-49,technician,single,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
22,37,30-39,admin.,married,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
23,35,30-39,technician,married,university.degree,Advanced,Medium Income,no,no,yes,Has Obligations
24,59,50-59,technician,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
25,39,30-39,self-employed,married,basic.9y,Elementary,High Income,no,no,no,No Obligations
26,54,50-59,technician,single,university.degree,Advanced,Medium Income,no,no,no,No Obligations
27,55,50-59,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
28,46,40-49,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
29,49,40-49,blue-collar,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
30,54,50-59,management,married,basic.4y,Elementary,High Income,no,yes,no,Has Obligations
