EconomicKey,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,economic_period
1,1.1,93.994,-36.4,4.857,5191.0,High
2,1.1,93.994,-36.4,4.856,5191.0,High
3,1.1,93.994,-36.4,4.855,5191.0,High
4,1.1,93.994,-36.4,4.859,5191.0,High
5,1.1,93.994,-36.4,4.86,5191.0,High
6,1.1,93.994,-36.4,4.858,5191.0,High
7,1.1,93.994,-36.4,4.864,5191.0,High
8,1.4,94.465,-41.8,4.865,5228.1,High
9,1.4,94.465,-41.8,4.864,5228.1,High
10,1.4,94.465,-41.8,4.866,5228.1,High
11,1.4,94.465,-41.8,4.967,5228.1,High
12,1.4,94.465,-41.8,4.961,5228.1,High
13,1.4,94.465,-41.8,4.959,5228.1,High
14,1.4,94.465,-41.8,4.958,5228.1,High
15,1.4,94.465,-41.8,4.96,5228.1,High
16,1.4,94.465,-41.8,4.962,5228.1,High
17,1.4,94.465,-41.8,4.955,5228.1,High
18,1.4,94.465,-41.8,4.947,5228.1,High
19,1.4,93.918,-42.7,4.955,5228.1,High
20,1.4,93.918,-42.7,4.956,5228.1,High
21,1.4,93.918,-42.7,4.966,5228.1,High
22,1.4,93.918,-42.7,4.959,5228.1,High
23,1.4,93.918,-42.7,4.96,5228.1,High
24,1.4,93.918,-42.7,4.962,5228.1,High
25,1.4,93.918,-42.7,4.963,5228.1,High
26,1.4,93.918,-42.7,4.961,5228.1,High
27,1.4,93.918,-42.7,4.957,5228.1,High
28,1.4,93.918,-42.7,4.958,5228.1,High
29,1.4,93.918,-42.7,4.968,5228.1,High
30,1.4,93.444,-36.1,4.97,5228.1,High
31,1.4,93.444,-36.1,4.968,5228.1,High
32,1.4,93.444,-36.1,4.967,5228.1,High
33,1.4,93.444,-36.1,4.966,5228.1,High
34,1.4,93.444,-36.1,4.965,5228.1,High
35,1.4,93.444,-36.1,4.964,5228.1,High
36,1.4,93.444,-36.1,4.963,5228.1,High
37,1.4,93.444,-36.1,4.962,5228.1,High
38,-0.1,93.798,-40.4,5.045,5195.8,High
39,-0.1,93.798,-40.4,5.0,5195.8,High
40,-0.1,93.798,-40.4,4.968,5195.8,High
41,-0.1,93.798,-40.4,4.936,5195.8,High
42,-0.1,93.798,-40.4,4.921,5195.8,High
43,-0.1,93.798,-40.4,4.918,5195.8,High
44,-0.1,93.798,-40.4,4.912,5195.8,High
45,-0.1,93.798,-40.4,4.86,5195.8,High
46,-0.1,93.798,-40.4,4.827,5195.8,High
47,-0.1,93.798,-40.4,4.794,5195.8,High
48,-0.1,93.798,-40.4,4.76,5195.8,High
49,-0.1,93.2,-42.0,4.733,5195.8,High
50,-0.1,93.2,-42.0,4.7,5195.8,High
51,-0.1,93.2,-42.0,4.663,5195.8,High
52,-0.1,93.2,-42.0,4.592,5195.8,High
53,-0.1,93.2,-42.0,4.474,5195.8,High
54,-0.1,93.2,-42.0,4.406,5195.8,High
55,-0.1,93.2,-42.0,4.343,5195.8,High
56,-0.1,93.2,-42.0,4.286,5195.8,High
57,-0.1,93.2,-42.0,4.245,5195.8,High
58,-0.1,93.2,-42.0,4.223,5195.8,High
59,-0.1,93.2,-42.0,4.191,5195.8,High
60,-0.1,93.2,-42.0,4.153,5195.8,High
61,-0.1,93.2,-42.0,4.12,5195.8,High
62,-0.1,93.2,-42.0,4.076,5195.8,High
63,-0.1,93.2,-42.0,4.021,5195.8,High
64,-0.1,93.2,-42.0,3.901,5195.8,High
65,-0.1,93.2,-42.0,3.879,5195.8,High
66,-0.1,93.2,-42.0,3.853,5195.8,High
67,-0.2,92.756,-45.9,3.816,5176.3,High
68,-0.2,92.756,-45.9,3.743,5176.3,High
69,-0.2,92.756,-45.9,3.669,5176.3,High
70,-0.2,92.756,-45.9,3.563,5176.3,High
71,-0.2,92.756,-45.9,3.488,5176.3,High
72,-0.2,92.756,-45.9,3.428,5176.3,High
73,-0.2,92.756,-45.9,3.329,5176.3,High
74,-0.2,92.756,-45.9,3.282,5176.3,High
75,-0.2,92.756,-45.9,3.053,5176.3,High
76,-1.8,92.843,-50.0,1.811,5099.1,Low
77,-1.8,92.843,-50.0,1.799,5099.1,Low
78,-1.8,92.843,-50.0,1.778,5099.1,Low
79,-1.8,92.843,-50.0,1.757,5099.1,Low
80,-1.8,92.843,-50.0,1.726,5099.1,Low
81,-1.8,92.843,-50.0,1.703,5099.1,Low
82,-1.8,92.843,-50.0,1.687,5099.1,Low
83,-1.8,92.843,-50.0,1.663,5099.1,Low
84,-1.8,92.843,-50.0,1.65,5099.1,Low
85,-1.8,92.843,-50.0,1.64,5099.1,Low
86,-1.8,92.843,-50.0,1.629,5099.1,Low
