FactKey,CustomerKey,CampaignKey,ContactKey,EconomicKey,DateKey,duration_cleaned,y,is_success,duration_category
1,1,1,1,1,1,261,no,0,Medium
2,2,1,1,1,1,149,no,0,Short
3,3,1,1,1,1,226,no,0,Medium
4,4,1,1,1,1,151,no,0,Short
5,5,1,1,1,1,307,no,0,Medium
6,6,1,1,1,1,198,no,0,Medium
7,7,1,1,1,1,139,no,0,Short
8,8,1,1,1,1,217,no,0,Medium
9,9,1,1,1,1,380,no,0,Long
10,10,1,1,1,1,50,no,0,Short
11,8,1,1,1,1,55,no,0,Short
12,10,1,1,1,1,222,no,0,Medium
13,11,1,1,1,1,137,no,0,Short
14,12,1,1,1,1,293,no,0,Medium
15,13,1,1,1,1,146,no,0,Short
16,14,1,1,1,1,174,no,0,Short
17,13,1,1,1,1,312,no,0,Medium
18,15,1,1,1,1,440,no,0,Long
19,16,1,1,1,1,353,no,0,Medium
20,17,1,1,1,1,195,no,0,Medium
21,18,1,1,1,1,38,no,0,Short
22,19,1,1,1,1,262,no,0,Medium
23,20,1,1,1,1,342,no,0,Medium
24,21,1,1,1,1,181,no,0,Medium
25,22,1,1,1,1,172,no,0,Short
26,23,1,1,1,1,99,no,0,Short
27,24,1,1,1,1,93,no,0,Short
28,25,1,1,1,1,233,no,0,Medium
29,26,2,1,1,1,255,no,0,Medium
30,27,1,1,1,1,362,no,0,Long
31,28,1,1,1,1,348,no,0,Medium
32,24,1,1,1,1,386,no,0,Long
33,29,1,1,1,1,73,no,0,Short
34,30,1,1,1,1,230,no,0,Medium
35,31,1,1,1,1,208,no,0,Medium
36,32,1,1,1,1,336,no,0,Medium
37,33,1,1,1,1,365,no,0,Long
38,34,1,1,1,1,180,no,0,Short
39,35,1,1,1,1,577,no,0,Long
40,36,1,1,1,1,137,no,0,Short
41,37,1,1,1,1,366,no,0,Long
42,38,1,1,1,1,314,no,0,Medium
43,39,1,1,1,1,160,no,0,Short
44,40,1,1,1,1,212,no,0,Medium
45,41,1,1,1,1,188,no,0,Medium
46,42,1,1,1,1,22,no,0,Short
47,43,1,1,1,1,616,no,0,Very Long
48,44,1,1,1,1,178,no,0,Short
49,45,1,1,1,1,355,no,0,Medium
50,46,2,1,1,1,225,no,0,Medium
51,47,1,1,1,1,160,no,0,Short
52,48,1,1,1,1,266,no,0,Medium
